Local,Visitante,GolesLocal,GolesVisitante,PosicionLocal,PosicionVisitante,TirosLocal,TirosVisitante,ParadasLocal,ParadasVisitante,Resultado,Jornada
1,2,1,0,6,15,5,2,2,4,1,1
3,4,1,3,19,1,4,11,8,2,2,1
5,6,1,1,12,11,6,3,2,5,0,1
7,8,2,1,3,13,3,5,4,1,1,1
9,10,0,1,17,8,2,2,1,2,2,1
11,12,4,4,10,9,7,7,4,3,0,1
13,14,1,0,5,18,2,4,4,1,1,1
15,16,0,2,20,2,2,4,2,2,2,1
17,18,1,2,14,4,4,3,1,3,2,1
19,20,1,0,7,16,5,0,0,4,1,1
12,16,0,1,14,1,0,6,5,0,2,2
14,11,2,1,10,13,4,6,5,2,1,2
10,8,0,0,8,15,2,0,1,2,0,2
4,18,1,1,3,4,4,2,1,3,0,2
3,5,1,0,12,17,6,1,1,5,1,2
20,1,1,1,16,5,2,2,1,1,0,2
7,6,0,1,11,6,4,4,3,4,2,2
13,15,0,0,7,18,2,1,1,2,0,2
9,19,0,1,19,2,4,4,3,5,2,2
2,17,5,2,9,20,7,3,1,2,1,2
16,3,1,1,3,11,5,1,0,4,0,3
1,6,2,0,2,13,5,2,2,3,1,3
10,2,2,2,6,8,5,4,2,3,0,3
14,18,2,0,4,12,3,3,3,1,1,3
20,13,1,1,17,7,1,1,0,0,0,3
17,9,2,1,15,20,5,7,7,3,1,3
5,7,2,0,10,14,4,1,1,2,1,3
15,12,0,3,19,9,3,6,4,3,2,3
19,8,3,2,1,18,3,2,0,0,1,3
11,4,2,2,16,5,5,5,3,3,0,3
7,1,0,0,14,4,1,5,5,1,0,4
4,14,3,2,3,8,11,3,1,8,1,4
9,11,0,3,20,10,4,4,1,4,2,4
6,19,2,0,7,2,5,2,2,3,1,4
2,5,5,2,5,13,10,3,1,5,1,4
8,15,1,2,19,17,1,2,0,0,2,4
13,16,0,1,11,1,0,7,6,0,2,4
3,12,0,2,16,6,0,3,1,0,2,4
18,10,1,1,12,9,1,5,4,0,0,4
17,20,1,1,15,18,2,4,3,1,0,4
10,17,0,0,10,14,5,2,2,5,0,5
11,18,2,0,7,15,6,3,2,4,1,5
14,8,0,0,9,19,4,4,4,4,0,5
19,3,0,0,6,16,5,3,3,6,0,5
12,2,2,0,3,8,4,1,1,2,1,5
20,7,4,2,11,17,5,3,1,2,1,5
15,6,1,3,18,4,3,5,2,3,2,5
5,9,1,1,12,20,4,4,3,3,0,5
1,13,2,0,1,13,3,1,1,1,1,5
16,4,0,1,5,2,0,4,3,0,2,5
18,12,1,1,14,5,5,4,3,4,0,6
17,14,3,1,9,11,5,3,2,2,1,6
2,11,2,1,6,8,4,3,2,2,1,6
9,1,1,1,20,4,3,2,1,2,0,6
7,19,0,2,19,3,2,3,1,3,2,6
5,20,3,3,13,10,4,5,2,0,0,6
4,10,2,0,1,12,4,0,0,3,1,6
8,16,3,2,16,7,4,4,1,1,1,6
3,15,1,1,15,18,3,4,3,2,0,6
6,13,3,0,2,17,7,0,0,4,1,6
11,17,5,1,8,15,10,6,5,5,1,7
1,5,0,1,7,9,3,6,4,3,2,7
20,2,0,2,16,4,1,6,4,1,2,7
12,9,1,0,2,20,4,6,6,3,1,7
19,4,0,0,3,1,1,3,3,1,0,7
15,18,0,2,18,10,2,6,4,2,2,7
8,3,2,0,11,17,3,2,2,1,1,7
13,7,2,0,14,19,6,1,1,4,1,7
14,10,1,1,12,13,5,3,2,4,0,7
16,6,3,2,6,5,8,2,0,5,1,7
17,8,1,1,16,14,3,2,1,2,0,8
9,14,1,2,20,10,10,2,0,9,2,8
4,12,4,2,1,4,10,5,3,6,1,8
5,13,2,1,8,17,3,4,3,1,1,8
10,11,2,1,11,9,4,6,4,2,1,8
7,15,2,0,18,19,3,3,3,1,1,8
3,1,1,0,15,7,2,2,2,1,1,8
18,19,0,0,13,3,1,1,1,1,0,8
6,20,1,2,5,12,3,4,2,2,2,8
2,16,4,0,2,6,8,4,4,4,1,8
12,10,1,0,3,13,2,4,4,1,1,9
8,2,0,3,16,1,0,4,1,0,2,9
19,5,1,1,5,10,4,3,2,3,0,9
20,9,2,0,9,20,2,3,3,0,1,9
7,4,1,0,15,2,1,4,4,0,1,9
13,3,2,0,14,17,5,2,2,3,1,9
6,17,3,1,4,18,6,5,4,2,1,9
15,11,0,1,19,7,3,5,5,3,2,9
1,18,1,1,8,12,7,3,3,6,0,9
16,14,1,0,6,11,5,5,5,4,1,9
